"Year","Month","Geography_Type","Strata","Strata_Name","Count","Annotation_Code","Annotation_Desc","Data_Revision_Date"
1966,12,Occurrence,Total Population,Total Population,28423,,,10/30/2024
1966,12,Residence,Total Population,Total Population,28393,,,10/30/2024
1967,01,Occurrence,Total Population,Total Population,27760,,,10/30/2024
1967,01,Residence,Total Population,Total Population,27777,,,10/30/2024
1967,02,Occurrence,Total Population,Total Population,25650,,,10/30/2024
1967,02,Residence,Total Population,Total Population,25642,,,10/30/2024
1967,03,Occurrence,Total Population,Total Population,28374,,,10/30/2024
1967,03,Residence,Total Population,Total Population,28370,,,10/30/2024
1967,04,Occurrence,Total Population,Total Population,26540,,,10/30/2024
1967,04,Residence,Total Population,Total Population,26529,,,10/30/2024
1967,05,Occurrence,Total Population,Total Population,28179,,,10/30/2024
1967,05,Residence,Total Population,Total Population,28171,,,10/30/2024
1967,06,Occurrence,Total Population,Total Population,27392,,,10/30/2024
1967,06,Residence,Total Population,Total Population,27391,,,10/30/2024
1967,07,Occurrence,Total Population,Total Population,28980,,,10/30/2024
1967,07,Residence,Total Population,Total Population,28985,,,10/30/2024
1967,08,Occurrence,Total Population,Total Population,29635,,,10/30/2024
1967,08,Residence,Total Population,Total Population,29620,,,10/30/2024
1967,09,Occurrence,Total Population,Total Population,29415,,,10/30/2024
1967,09,Residence,Total Population,Total Population,29420,,,10/30/2024
1967,10,Occurrence,Total Population,Total Population,29016,,,10/30/2024
1967,10,Residence,Total Population,Total Population,28958,,,10/30/2024
1967,11,Occurrence,Total Population,Total Population,27289,,,10/30/2024
1967,11,Residence,Total Population,Total Population,27283,,,10/30/2024
1967,12,Occurrence,Total Population,Total Population,28472,,,10/30/2024
1967,12,Residence,Total Population,Total Population,28432,,,10/30/2024
1968,01,Occurrence,Total Population,Total Population,26061,,,10/30/2024
1968,01,Residence,Total Population,Total Population,26056,,,10/30/2024
1968,02,Occurrence,Total Population,Total Population,25278,,,10/30/2024
1968,02,Residence,Total Population,Total Population,25254,,,10/30/2024
1968,03,Occurrence,Total Population,Total Population,27386,,,10/30/2024
1968,03,Residence,Total Population,Total Population,27373,,,10/30/2024
1968,04,Occurrence,Total Population,Total Population,26540,,,10/30/2024
1968,04,Residence,Total Population,Total Population,26533,,,10/30/2024
1968,05,Occurrence,Total Population,Total Population,27492,,,10/30/2024
1968,05,Residence,Total Population,Total Population,27494,,,10/30/2024
1968,06,Occurrence,Total Population,Total Population,27277,,,10/30/2024
1968,06,Residence,Total Population,Total Population,27288,,,10/30/2024
1968,07,Occurrence,Total Population,Total Population,29876,,,10/30/2024
1968,07,Residence,Total Population,Total Population,29893,,,10/30/2024
1968,08,Occurrence,Total Population,Total Population,30246,,,10/30/2024
1968,08,Residence,Total Population,Total Population,30254,,,10/30/2024
1968,09,Occurrence,Total Population,Total Population,30706,,,10/30/2024
1968,09,Residence,Total Population,Total Population,30674,,,10/30/2024
1968,10,Occurrence,Total Population,Total Population,30395,,,10/30/2024
1968,10,Residence,Total Population,Total Population,30382,,,10/30/2024
1968,11,Occurrence,Total Population,Total Population,28319,,,10/30/2024
1968,11,Residence,Total Population,Total Population,28273,,,10/30/2024
1968,12,Occurrence,Total Population,Total Population,29747,,,10/30/2024
1968,12,Residence,Total Population,Total Population,29747,,,10/30/2024
1969,01,Occurrence,Total Population,Total Population,28303,,,10/30/2024
1969,01,Residence,Total Population,Total Population,28280,,,10/30/2024
1969,02,Occurrence,Total Population,Total Population,26205,,,10/30/2024
1969,02,Residence,Total Population,Total Population,26197,,,10/30/2024
1969,03,Occurrence,Total Population,Total Population,29397,,,10/30/2024
1969,03,Residence,Total Population,Total Population,29377,,,10/30/2024
1969,04,Occurrence,Total Population,Total Population,28629,,,10/30/2024
1969,04,Residence,Total Population,Total Population,28620,,,10/30/2024
1969,05,Occurrence,Total Population,Total Population,29864,,,10/30/2024
1969,05,Residence,Total Population,Total Population,29872,,,10/30/2024
1969,06,Occurrence,Total Population,Total Population,28920,,,10/30/2024
1969,06,Residence,Total Population,Total Population,28933,,,10/30/2024
1969,07,Occurrence,Total Population,Total Population,31265,,,10/30/2024
1969,07,Residence,Total Population,Total Population,31254,,,10/30/2024
1969,08,Occurrence,Total Population,Total Population,30878,,,10/30/2024
1969,08,Residence,Total Population,Total Population,30878,,,10/30/2024
1969,09,Occurrence,Total Population,Total Population,30179,,,10/30/2024
1969,09,Residence,Total Population,Total Population,30197,,,10/30/2024
1969,10,Occurrence,Total Population,Total Population,29664,,,10/30/2024
1969,10,Residence,Total Population,Total Population,29664,,,10/30/2024
1969,11,Occurrence,Total Population,Total Population,28887,,,10/30/2024
1969,11,Residence,Total Population,Total Population,28868,,,10/30/2024
1969,12,Occurrence,Total Population,Total Population,30807,,,10/30/2024
1969,12,Residence,Total Population,Total Population,30797,,,10/30/2024
1970,01,Occurrence,Total Population,Total Population,29076,,,10/30/2024
1970,01,Residence,Total Population,Total Population,29063,,,10/30/2024
1970,02,Occurrence,Total Population,Total Population,27222,,,10/30/2024
1970,02,Residence,Total Population,Total Population,27190,,,10/30/2024
1970,03,Occurrence,Total Population,Total Population,30591,,,10/30/2024
1970,03,Residence,Total Population,Total Population,30591,,,10/30/2024
1970,04,Occurrence,Total Population,Total Population,29181,,,10/30/2024
1970,04,Residence,Total Population,Total Population,29169,,,10/30/2024
1970,05,Occurrence,Total Population,Total Population,30171,,,10/30/2024
1970,05,Residence,Total Population,Total Population,30162,,,10/30/2024
1970,06,Occurrence,Total Population,Total Population,29955,,,10/30/2024
1970,06,Residence,Total Population,Total Population,29937,,,10/30/2024
1970,07,Occurrence,Total Population,Total Population,31608,,,10/30/2024
1970,07,Residence,Total Population,Total Population,31634,,,10/30/2024
1970,08,Occurrence,Total Population,Total Population,32018,,,10/30/2024
1970,08,Residence,Total Population,Total Population,32009,,,10/30/2024
1970,09,Occurrence,Total Population,Total Population,31674,,,10/30/2024
1970,09,Residence,Total Population,Total Population,31644,,,10/30/2024
1970,10,Occurrence,Total Population,Total Population,30747,,,10/30/2024
1970,10,Residence,Total Population,Total Population,30744,,,10/30/2024
1970,11,Occurrence,Total Population,Total Population,29575,,,10/30/2024
1970,11,Residence,Total Population,Total Population,29552,,,10/30/2024
1970,12,Occurrence,Total Population,Total Population,30979,,,10/30/2024
1970,12,Residence,Total Population,Total Population,30957,,,10/30/2024
1971,01,Occurrence,Total Population,Total Population,28867,,,10/30/2024
1971,01,Residence,Total Population,Total Population,28857,,,10/30/2024
1971,02,Occurrence,Total Population,Total Population,25860,,,10/30/2024
1971,02,Residence,Total Population,Total Population,25856,,,10/30/2024
1971,03,Occurrence,Total Population,Total Population,29224,,,10/30/2024
1971,03,Residence,Total Population,Total Population,29226,,,10/30/2024
1971,04,Occurrence,Total Population,Total Population,27051,,,10/30/2024
1971,04,Residence,Total Population,Total Population,27080,,,10/30/2024
1971,05,Occurrence,Total Population,Total Population,27641,,,10/30/2024
1971,05,Residence,Total Population,Total Population,27649,,,10/30/2024
